ga:productSku;ga:uniquePurchases
3105090;1
3109977;1
3111759;1
3113750;1
3114266;1
3120128;1
3121153;1
3122226;1
3122267;1
3122761;1
3122883;1
3125432;1
3126496;1
3128383;1
3128387;1
3128959;1
3128961;1
3129451;1
3130068;1
3130450;1
3130676;1
3130957;1
3131030;1
3131852;1
3131922;1
3133610;1
3133769;1
3133882;1
3133986;1
3134900;1
3135903;2
3136683;1
3137221;1
3140174;1
3140176;1
3140956;1
3142872;1
3144321;1
3144952;1
3153693;1
3160416;1
3160424;1
336952;1
338946;1
356023;1
356272;1
360193;1
360878;1
361413;1
364257;1
374570;1
374611;1
380017;1
384437;1
394365;1
396842;1
397311;1
397391;1
397434;1
397700;1
S080501_1500_30_EUR;2
S080501_500_30_EUR;2
