ga:productSku;ga:uniquePurchases
3104418;1
3107674;1
3107729;1
3108988;1
3111168;1
3113749;1
3114003;1
3115437;1
3115441;1
3117774;1
3121907;1
3128571;1
3128920;1
3128961;1
3128969;1
3130715;1
3130775;1
3130892;2
3130970;1
3130983;1
3130988;1
3131269;1
3132879;1
3133053;1
3136203;1
3136412;1
3137469;1
3138748;1
3139546;1
3142877;1
3143573;1
3144938;1
3147924;1
3156602;1
3164880;1
317789;1
318059;1
319238;1
321914;1
332520;1
332674;1
336102;1
336169;1
361402;1
361865;1
361868;1
365314;1
372842;1
384272;1
394772;1
395284;1
396814;1
399853;1
S080501_500_30_EUR;4
