ga:productSku;ga:uniquePurchases
3108549;1
3111052;1
3111422;1
3113574;1
3113603;1
3114475;1
3115318;1
3116973;1
3117567;2
3118328;1
3120590;2
3121442;1
3124516;1
3125697;1
3127292;1
3128366;1
3128950;1
3128966;1
3129455;1
3129590;1
3130066;4
3130475;1
3130894;1
3130946;1
3130996;1
3131645;1
3131887;1
3132355;2
3132774;1
3132879;1
3133072;1
3133919;1
3135968;1
3136316;1
3137173;1
3137182;1
3138902;1
3138956;1
3139053;1
3141429;1
3141516;1
3142206;1
3143747;1
3144256;1
3148829;1
314890;1
3156345;1
3164880;1
322630;1
322720;1
324036;1
324792;1
352441;1
354975;1
356925;1
361824;1
361865;1
364443;1
366314;1
372388;1
379205;1
380450;1
380494;1
394697;1
397250;1
S080501_500_30_EUR;4
