ga:productSku;ga:uniquePurchases
3108547;1
3109793;3
3109977;1
3111415;1
3114911;2
311623;1
3117420;1
3117421;1
3118328;5
3120746;1
3121612;1
3122267;1
3122448;1
3122635;1
3124133;1
3125473;1
3127296;1
312805;1
3128383;1
3128933;1
3130264;1
3130461;1
3131653;1
3131875;1
3131887;1
3132342;1
3132862;1
3132998;1
3134279;1
3134801;1
3135926;1
3135992;1
3136184;1
3137173;1
3138950;1
3150955;1
3153693;1
3154124;1
3157399;1
3162050;1
3162688;1
321914;1
324852;1
324859;1
335987;1
336435;1
340671;1
346099;1
356938;1
358692;1
360405;1
364430;1
365247;1
381931;1
397291;1
397415;1
S080501_500_30_EUR;4
