ga:productSku;ga:uniquePurchases
3104481;1
3108549;1
3109755;1
3109793;2
3112873;2
3113574;1
3115668;1
3116973;1
3120821;1
3121111;1
3121149;1
3121434;1
3122494;1
3122595;1
3122726;1
3126505;1
3127336;1
3127351;1
3128400;1
3130895;1
3131692;1
3132911;1
3133479;1
3133592;1
3134036;1
3134920;1
3136031;2
3136358;1
3137474;1
3137497;1
3137754;1
3137827;1
3139040;1
3139425;1
3142154;1
3142211;1
3142291;1
3142867;1
3142872;1
3143762;1
3144271;1
3144953;1
3146440;1
3149960;1
3155119;1
3155272;1
3157406;1
3157547;1
315776;1
3158742;1
3158786;1
315934;1
317070;1
324859;1
327150;1
340474;1
345790;1
371178;1
371603;1
379205;1
381954;1
386009;1
386484;1
390615;1
390951;1
396818;1
397385;1
397792;1
398016;1
S080501_1500_30_EUR;1
S080501_500_30_EUR;6
