ga:productSku;ga:uniquePurchases
3109977;1
3111557;1
3113602;1
3114295;1
3114484;1
3115449;1
3116795;1
3118328;1
3120580;1
3121424;1
3121516;1
3122173;1
3122174;1
3122232;1
3125014;1
3128940;1
3130055;1
3130734;1
3130980;1
3131053;1
3131645;1
3132781;2
3132879;1
3132896;1
3136370;1
3137173;1
3137179;1
3141135;2
3141240;1
3146550;1
3148612;1
3149347;1
3153683;1
3153693;1
315470;1
3155119;1
3156575;1
3158842;1
3164880;3
319180;1
321914;1
328061;1
336397;1
352450;1
354977;1
360088;1
360922;1
364787;1
371195;1
378525;1
381422;4
384860;6
385321;1
386484;1
390575;1
397291;1
397328;1
397333;1
399822;1
S080501_500_30_EUR;4
