ga:productSku;ga:revenuePerItem
3107193;86.9
3108850;415.78
3112652;237.02
3114911;301.65
3115436;108.82
3115441;165.88
3115449;355.37
3116375;48.76
3122516;27.98
3124251;24.79
3125655;8.26
3126510;214.17
3127351;285.86
3128383;189.45
3128559;28.82
3128956;523.1
3130087;350.06
3130936;349.5
3131853;148.86
3131887;270.23
3132777;70.25
3135923;329.3
3135983;188.3
3140944;63.07
3155262;322.01
3157562;25.99
3159064;264.67
3169821;365.39
318108;95.22
336826;295.63
340387;16.6
354386;9.08
356272;148.76
361824;245.91
363850;33.05
364062;24.1
364378;453.72
372878;179.7
394735;50.97
S080501_1500_30_EUR;2.94
S080501_500_30_EUR;0.98
