ga:productSku;ga:revenuePerItem
3104481;156.3
3108549;115.07
3109755;619.01
3109793;210.74
3112873;7.44
3113574;164.46
3115668;248.09
3116973;136.36
3120821;16.22
3121111;37.19
3121149;289.0
3121434;14.67
3122494;27.48
3122595;11.09
3122726;32.23
3126505;117.33
3127336;71.07
3127351;285.86
3128400;139.63
3130895;242.53
3131692;16.0
3132911;329.75
3133479;20.37
3133592;206.5
3134036;209.12
3134920;156.2
3136031;127.18
3136358;49.81
3137474;98.35
3137497;219.19
3137754;1377.08
3137827;111.57
3139040;41.43
3139425;36.56
3142154;330.58
3142211;195.57
3142291;328.09
3142867;240.13
3142872;339.66
3143762;271.9
3144271;107.44
3144953;86.77
3146440;669.81
3149960;161.66
3155119;185.95
3155272;183.15
3157406;96.3
3157547;66.35
315776;123.74
3158742;475.53
3158786;301.95
315934;90.61
317070;154.66
324859;192.38
327150;182.78
340474;107.1
345790;405.97
371178;565.01
371603;5.0
379205;292.56
381954;48.73
386009;10.3
386484;137.26
390615;22.02
390951;208.29
396818;37.19
397385;23.97
397792;37.19
398016;57.02
S080501_1500_30_EUR;2.94
S080501_500_30_EUR;0.98
