ga:productSku;ga:revenuePerItem
3108850;415.78
3109106;14049.58
3114003;32.0
3114514;156.95
3115436;108.82
311623;135.46
3116370;11.01
3117420;175.8
3117421;215.84
3120534;20.66
3120660;20.66
3121446;9.97
3121588;549.4
3121592;438.07
3121611;40.49
3122446;6.61
3124126;34.31
3124232;7.44
3126231;8.2
3128571;454.04
3128921;359.5
3128959;443.0
3131036;79.45
3131657;136.36
3131687;20.19
3131845;355.37
3131846;421.15
3131852;337.58
3131922;306.77
3132750;66.0
3133080;40.95
3133987;570.25
3135944;402.48
3136289;114.17
3142251;113.39
3143615;77.68
3159935;14.05
3164880;40.5
317126;29.99
32166;1569.42
322053;13.24
324432;259.11
324792;69.97
340579;24.79
340663;268.7
344475;81.8
356480;93.46
356763;132.22
372388;32.23
374823;17.42
378525;40.5
379158;358.95
379205;292.56
387607;269.08
394559;8.79
395202;9.16
396279;14.92
S080501_500_30_EUR;0.98
