ga:productSku;ga:revenuePerItem
310052;7.81
3108850;415.78
3110220;37.19
3112632;740.3
3115436;105.41
3118328;325.0
3118487;70.26
3121943;26.64
3122670;10.74
3123194;10.01
3123553;34.71
3127310;147.93
3128522;13.23
3128966;674.25
3129618;190.08
3130066;98.35
3130154;7.04
3131011;117.64
3131147;13.15
3131742;12.4
3132360;406.98
3132363;826.48
3133911;221.32
3134891;15.0
3136031;127.18
3136200;46.87
3137068;198.35
3137094;18.33
3137827;111.57
3139149;13.46
3140178;74.38
3143747;139.67
3146192;35.86
3147809;98.35
3147944;139.67
3148017;32.23
3150246;368.75
3153693;190.24
3157406;96.3
3164880;40.5
317070;154.66
317318;32.69
317405;28.51
332520;36.21
33583;9.46
352420;65.44
352450;37.04
353717;1148.76
354975;208.52
358710;65.02
361416;10.74
372474;26.94
378484;356.53
378485;380.2
381422;45.0
384369;324.27
384860;45.0
386119;31.86
387742;89.37
388995;107.84
391965;433.88
393834;31.4
398209;220.03
S080501_500_30_EUR;0.98
