ga:productSku;ga:revenuePerItem
310027;371.07
3107617;281.52
3107705;338.84
3109793;225.8
3109977;165.29
3112660;26.24
3112697;210.94
3113749;239.65
3113751;106.23
3114520;42.6
3114639;20.95
3115427;389.42
3115449;355.37
3116370;11.01
3116508;3.86
3118328;325.0
3121493;26.07
3121518;164.5
3121937;565.15
3122142;390.16
3122361;53.72
3122863;261.5
3123233;196.69
3125040;345.82
3127292;19.5
3128399;267.86
3128920;411.22
3128929;691.73
3128966;674.25
3130066;98.35
3130487;352.63
3130676;31.4
3130897;315.0
3131077;304.61
3131640;73.55
3131688;32.23
3131887;270.23
3131926;309.08
3132830;28.0
3132998;197.65
3133017;16.65
3133290;95.04
3133610;208.22
3133884;432.55
3134870;300.69
3135959;39.41
3136331;529.25
3137182;302.02
3137827;111.57
3138950;366.13
3139034;44.75
3139392;10.16
3140171;15.7
3140178;74.38
3141153;20.66
3146603;30.58
3150648;58.86
3153693;188.24
3155114;140.49
3155227;127.84
316049;92.47
319238;143.78
319452;25.55
326682;12.4
345796;12.97
352214;210.43
358423;425.62
360088;247.11
360405;75.51
361824;245.91
370785;25.18
371195;360.29
371582;7.44
372630;297.87
372897;50.45
372909;79.45
373334;30.31
374986;293.64
380450;345.83
390951;211.52
392261;65.66
394365;214.88
395822;10.97
396452;16.18
396826;37.19
397291;41.32
397389;29.75
397521;70.25
S080501_500_30_EUR;0.98
