ga:productSku;ga:revenuePerItem
3104694;58.32
3108850;415.78
3109977;172.73
3109978;156.0
3112643;173.55
3112656;230.94
3113580;157.37
3113749;239.65
3114911;301.65
3115411;3.31
3115421;198.37
3116366;49.0
3116973;136.36
3118015;306.59
3118328;325.0
3120952;49.84
3122232;12.4
3122635;12.4
3123184;139.67
3124464;43.59
3124520;3.0
3125482;24.79
3127373;106.61
3128400;139.63
3128940;32.23
3129450;253.28
3130041;40.87
3130890;339.8
3130985;153.81
3131887;270.23
3132814;232.99
3132998;197.65
3136355;46.87
3136358;49.81
3136774;73.55
3136898;103.19
3137185;196.06
3139231;513.43
3139924;485.48
3141135;11.26
314202;40.5
3144166;16.52
3146837;27.27
3147889;90.91
3147909;32.23
3154013;62.37
315470;28.95
3155119;185.95
3157527;20.45
3160416;16.53
3164880;40.5
326076;48.76
326305;78.26
328841;33.16
338946;117.14
34924;123.14
354975;208.52
358710;65.02
359235;345.82
361810;170.97
361854;84.28
361865;210.01
361868;127.64
363101;58.26
37679;7.81
381422;66.15
381931;118.27
384188;7.81
384260;3.0
384350;22.31
384860;45.0
384928;767.77
386201;233.71
386718;56.8
394659;91.85
397241;32.23
397266;56.2
397333;81.82
397385;23.97
399822;171.91
399980;288.43
S080501_500_30_EUR;0.98
