ga:productSku;ga:revenuePerItem
3108547;102.67
3108850;415.78
3109793;214.8
3109978;156.0
3114551;25.33
3114912;275.94
3114913;250.62
3115040;6.61
3115289;19.01
3115441;165.88
3117420;175.8
3118328;325.0
3118564;215.25
3119463;222.31
3121609;49.57
3122003;260.33
3122656;24.79
3122718;14.05
312460;4.0
3127292;19.5
3127351;277.64
3128400;139.62
3128423;2268.0
3128949;266.15
3131657;136.36
3132879;188.69
3133079;23.06
3133281;100.29
3133667;26.0
3133911;221.32
3133919;120.01
3136105;41.55
3136289;105.44
3136358;49.77
3138956;236.69
3141115;39.67
3141135;11.26
3141168;37.19
3143605;66.7
3144949;41.32
3146050;81.82
3147834;98.35
3147924;32.23
3150648;58.86
3155277;40.0
3155367;31.0
331374;486.78
332806;6.61
34924;123.14
362975;57.1
363002;30.08
363091;221.55
364257;181.62
364671;16.53
372885;265.93
384281;61.48
390546;1012.14
391072;18.1
394618;42.97
394843;23.98
397336;61.98
399702;19.27
S080501_500_30_EUR;0.98
