ga:productSku;ga:revenuePerItem
310852;28.93
3108952;21.15
3109978;156.0
3110290;73.55
3112267;247.11
3112632;752.07
3112656;230.94
3113844;164.46
3114236;106.61
3114280;182.99
3114320;48.76
3114520;42.6
3114852;7.85
3115028;9.92
3115318;238.84
3115438;250.19
311623;135.46
3117552;247.11
3118328;325.0
3120590;9.92
3122224;4.64
3122674;45.45
3129450;253.28
3129732;51.61
3130066;98.35
3130464;587.4
3130897;315.0
3130957;104.62
3131108;67.62
3131308;84.79
3131645;56.2
3131779;8.26
3132876;91.59
3132886;183.14
3132946;222.31
3133654;331.91
3133998;5.0
3136001;166.6
3136179;11.16
3136289;114.17
3138479;110.19
3138836;150.65
3139034;44.75
3139594;205.85
3141031;46.55
3142050;16.9
3142206;35.87
3143761;156.2
3146445;65.29
3147515;7.81
3152017;702.77
3157452;62.32
3158874;115.86
3159165;615.2
3164880;40.5
316901;221.29
324476;15.7
324702;211.0
326349;72.99
327786;57.57
327804;32.23
328810;6.61
332674;32.52
336689;506.82
337363;164.0
338946;118.14
341640;466.63
342055;48.79
353213;128.52
357117;4.96
357118;6.61
357119;4.96
357773;10.74
359400;157.1
360405;70.24
360536;67.08
360721;358.67
360858;64.55
364459;15.7
374562;35.09
379095;234.35
384860;45.0
384997;225.84
390951;208.29
397385;23.97
S080501_500_30_EUR;0.98
