ga:productSku;ga:revenuePerItem
3104223;91.35
3109793;214.8
3114912;275.94
3118042;1000.72
3118328;325.0
3120131;47.03
3121147;57.47
3121179;47.25
3121706;51.48
3121943;26.64
3122229;9.92
3122635;12.4
3122656;24.79
3123203;98.35
3125453;56.42
3125482;24.79
3127439;271.9
3128107;78.49
3128371;463.38
3128927;1073.55
3128949;266.15
3128967;785.12
3130461;403.51
3130678;338.84
3131645;56.2
3131653;47.93
3131657;136.36
3131887;270.23
3132558;180.99
3132559;186.28
3132879;188.69
3132894;110.22
3133884;432.55
3134904;238.96
3136013;92.51
3136031;127.18
3136382;144.13
3139231;513.43
3139304;227.55
3139337;121.2
3139778;830.42
3141135;11.26
3142206;35.87
3142568;8.05
3148426;28.93
3148497;65.29
3149710;181.15
3153693;188.24
315470;28.95
3156260;377.96
3157392;88.99
3157455;33.11
341410;147.45
341979;58.81
342236;3.31
344475;81.8
34924;123.14
353730;905.29
356634;131.4
360911;106.05
362970;53.72
378525;40.5
379157;325.37
384350;18.66
38918;73.55
390573;26.45
397064;48.97
397291;41.32
397357;61.98
397521;70.25
399704;163.04
S080501_500_30_EUR;0.98
