ga:productSku;ga:revenuePerItem
3105081;16.53
3108850;415.78
3109977;172.73
3112276;130.58
3113345;720.88
3113580;156.64
3113716;26.44
3114479;345.38
3116366;49.0
3120582;8.26
3121147;55.34
3121153;298.48
3124060;7.44
3125465;24.23
3127737;281.18
3128502;24.79
3128549;135.66
3128966;668.26
3129603;77.0
312996;60.01
3130450;350.06
3131211;241.76
3131926;306.93
3132863;134.03
3132882;893.06
3133623;376.43
3133919;120.01
3136245;6.72
3137068;198.35
3137827;111.57
3144949;41.32
3146837;27.27
3147675;20.66
3147864;164.46
3148622;20.66
3154134;494.57
3154276;528.98
3155121;227.27
3164880;40.5
323294;73.55
337140;632.93
340663;268.7
356699;49.43
356794;276.8
358710;65.02
361413;19.91
361670;23.97
361824;245.91
367483;57.02
378525;40.5
379096;257.7
380625;6.7
385321;44.23
396822;6.0
