ga:productSku;ga:revenuePerItem
3104470;287.61
3107617;281.52
3107705;338.84
310852;28.93
3108850;415.78
3108954;124.31
3109793;220.8
3109817;39.75
3109977;172.73
3109978;156.0
3110220;37.19
3112267;247.11
3112288;71.46
3113603;45.56
3113749;239.65
3114270;57.02
3114912;282.62
3115318;238.84
3115427;389.42
3115436;105.41
3115437;132.71
3117420;175.8
3118050;12.13
3118328;325.0
3120580;7.44
3121148;44.6
3122050;362.54
3122128;527.21
3122395;13.22
3122674;45.45
3122707;23.96
3123217;238.02
3124297;19.01
3124998;276.69
3125147;28.93
3128924;825.9
3128952;351.24
3129585;463.44
3130476;258.49
3130722;9.92
3131068;379.46
3131185;230.58
3132340;402.66
3132774;70.25
3133987;570.25
3134885;54.42
3135998;205.39
3137827;111.57
3138836;150.65
3139101;34.21
3139618;34.78
3140938;293.4
3141135;11.26
3143851;48.76
3144949;41.32
3146782;24.79
3146967;16.53
3147160;8.0
3147515;7.81
3147839;20.66
3149670;358.18
3151496;194.83
3153482;241.6
3153693;190.24
3155109;231.16
3155114;140.49
3157392;98.35
3158842;50.85
315934;90.61
316248;27.38
3164880;40.5
316806;15.35
317239;28.93
317246;52.34
322714;243.95
328810;6.61
341622;4.68
341979;58.81
34924;123.14
354975;208.52
356379;222.31
356953;485.68
357773;10.74
359305;28.93
359920;280.16
360844;166.08
361510;784.3
363091;221.55
364257;181.62
366010;21.39
369848;125.0
371782;9.2
374544;7.0
374562;35.09
378486;220.11
378525;40.5
381422;45.0
384860;45.0
386722;529.98
387534;252.83
390906;195.1
394365;214.88
395257;49.87
396822;6.0
396823;48.76
S080501_500_30_EUR;0.98
