ga:productSku;ga:revenuePerItem
3108941;627.4
3109977;172.73
3112632;752.07
3112651;484.92
3113655;29.64
3114912;282.62
3115436;104.93
3115670;139.59
3117773;296.91
3117874;11.99
3118328;325.0
3121588;549.4
3124998;276.69
3125697;44.37
3126275;133.0
3126664;57.02
3128383;189.45
3128507;341.27
3128672;498.52
3128961;594.1
3129603;77.0
3130729;257.57
3130895;256.88
3133072;207.06
3133884;432.55
3136307;880.97
3140011;75.21
3141228;205.78
3142147;139.06
3147769;495.04
3150080;125.0
3153683;291.89
3153693;190.24
3154164;58.96
3155367;31.0
3157399;33.01
3164880;40.5
319181;62.53
330874;82.39
344063;43.51
352297;65.06
356281;18.7
356953;485.68
360167;37.19
360846;148.1
361868;127.64
364088;25.29
364681;218.34
365254;57.02
366581;204.07
378170;239.0
378248;15.7
379154;68.61
383597;495.04
384486;7.7
384925;247.11
386474;64.46
387542;141.66
388839;161.49
391391;14.49
397271;40.5
397277;37.19
397343;17.24
397372;123.14
397614;48.76
S080501_500_30_EUR;0.98
