ga:productSku;ga:revenuePerItem
3109977;172.73
3112353;162.79
3113574;164.46
3114912;282.62
3115318;238.84
3115869;13.85
3120606;13.89
3121148;46.51
3122136;171.36
3122361;53.72
3122685;13.22
3123199;24.79
3123217;238.02
3124255;6.61
3125039;301.93
3128920;411.22
3130066;98.35
3131674;24.79
3131691;37.19
3133674;49.45
3133748;10.0
3133871;409.99
3133911;221.32
3135944;402.48
3136037;151.59
3136289;109.91
3136325;188.86
3136468;297.1
3137034;48.76
3139243;135.73
3139337;114.34
3139471;184.37
3139519;342.02
3141115;39.67
3142371;346.21
3143931;13.22
3145315;32.23
3146772;12.0
3149347;43.51
3155121;227.27
3155227;127.85
3157191;7.44
3159086;234.71
3165735;1730.38
32322;134.89
324852;188.57
336213;391.68
336949;157.78
352334;111.4
356023;236.97
356519;20.66
362976;57.1
373065;64.74
376202;243.8
378525;39.67
379205;292.56
381250;45.89
384947;303.25
391524;27.23
396779;12.88
397262;114.88
397700;30.58
S080501_500_30_EUR;0.98
