ga:productSku;ga:revenuePerItem
3108547;102.67
3109793;214.8
3109977;165.29
3111415;309.86
3114911;301.65
311623;135.46
3117420;175.8
3117421;215.84
3118328;325.0
3120746;241.81
3121612;40.45
3122267;48.76
3122448;16.53
3122635;12.4
3124133;449.95
3125473;33.06
3127296;20.66
312805;20.66
3128383;189.45
3128933;1037.95
3130264;78.61
3130461;403.51
3131653;47.93
3131875;335.66
3131887;270.23
3132342;516.53
3132862;138.84
3132998;197.65
3134279;67.16
3134801;243.8
3135926;54.21
3135992;73.2
3136184;57.02
3137173;229.01
3138950;366.13
3150955;236.12
3153693;188.24
3154124;301.21
3157399;33.01
3162050;5.2
3162688;4.12
321914;93.16
324852;193.57
324859;192.38
335987;106.61
336435;38.01
340671;76.46
346099;145.75
356938;26.75
358692;205.78
360405;75.51
364430;50.45
365247;101.2
381931;118.27
397291;41.32
397415;123.14
S080501_500_30_EUR;0.98
