ga:productSku;ga:revenuePerItem
3108795;147.96
3109008;235.75
3109793;212.8
3113593;149.1
3114520;42.6
311701;1817.35
3118328;325.0
3118443;222.61
3119072;172.73
3120466;37.19
3120644;32.23
3121588;565.25
3122361;53.72
3122387;18.66
3122445;25.5
3122636;40.5
3122656;24.79
3122685;13.22
3122906;29.4
3123194;10.01
3125475;18.13
3126225;669.42
3126275;133.0
3127215;378.82
3127292;19.5
3128522;13.23
3128923;1124.62
3128958;501.37
3128970;1083.92
3129590;274.92
3129610;17.6
3130066;98.35
3130132;268.59
3130239;1569.42
3130896;344.97
3131200;158.47
3131689;20.66
3131859;130.37
3132886;183.14
3132887;366.69
3133208;103.59
3133693;408.38
3134036;214.33
3134228;288.43
3137031;45.45
3137034;48.76
3137048;119.83
3137056;66.12
3139225;113.15
3140178;74.38
3140389;61.98
3141699;131.4
3142053;16.34
314243;230.58
3143513;502.27
3143583;74.38
3143721;156.2
3144700;15.28
3144949;41.32
3145995;12.37
3146196;15.32
3147150;14.88
3147889;90.91
3149665;269.92
3150246;368.75
3152551;405.69
3153693;188.24
3155227;127.84
3156585;136.41
315775;124.61
3160420;9.1
3161926;15.26
317070;154.66
324234;20.66
324852;193.57
325728;365.18
328050;18.85
336397;243.25
340663;272.7
351601;194.14
359241;206.22
360173;461.78
360495;457.42
360700;32.23
360844;166.08
361824;245.91
362631;56.82
362734;61.22
362976;57.1
363141;12.8
372878;179.7
376270;20.95
378525;40.5
381422;52.05
385123;43.06
391064;17.35
391068;40.5
394671;63.92
397285;48.76
397291;41.32
397776;45.45
399692;253.2
S080501_500_30_EUR;0.98
