ga:productSku;ga:revenuePerItem
3116364;156.2
3121424;8.04
3121934;294.92
3127292;19.5
3127459;61.15
3128386;255.12
3129590;274.92
3130462;534.97
3131656;123.14
3132360;406.98
3132879;185.69
3133861;190.04
3135959;39.41
3136197;83.5
3138833;117.06
3138956;233.69
3139519;371.29
3141129;8.26
3144660;106.61
3146802;7.0
3150055;17.99
3155121;227.27
3155272;183.15
3156595;77.25
317789;266.41
324810;358.97
326681;9.91
356363;398.72
357100;11.57
358424;536.36
360405;70.24
362677;20.66
364257;181.62
364681;218.34
366314;204.86
373961;18.36
378366;299.01
384514;57.02
396421;21.44
396819;35.0
396837;20.66
397261;45.45
397605;37.19
S080501_500_30_EUR;0.98
