ga:productSku;ga:revenuePerItem
3104418;23.97
3107674;280.97
3107729;70.54
3108988;274.53
3111168;370.36
3113749;239.65
3114003;32.0
3115437;132.71
3115441;165.78
3117774;181.82
3121907;22.11
3128571;454.04
3128920;411.22
3128961;536.36
3128969;1048.95
3130715;2.5
3130775;7.04
3130892;342.35
3130970;152.66
3130983;306.58
3130988;244.97
3131269;340.98
3132879;185.69
3133053;1611.57
3136203;188.74
3136412;33.35
3137469;28.93
3138748;795.0
3139546;294.17
3142877;390.34
3143573;24.79
3144938;32.95
3147924;32.23
3156602;40.5
3164880;40.5
317789;258.42
318059;175.35
319238;143.78
321914;93.16
332520;36.21
332674;32.52
336102;1061.29
336169;13.05
361402;78.19
361865;205.01
361868;130.05
365314;123.77
372842;189.22
384272;4.96
394772;139.67
395284;36.22
396814;9.92
399853;32.62
S080501_500_30_EUR;0.98
