ga:productSku;ga:revenuePerItem
3106080;183.49
3112873;7.44
3113603;45.56
3114911;301.65
3115436;108.82
3115441;165.78
3116973;136.36
3117159;243.8
3118328;325.0
3120733;16.53
3120742;226.77
3123217;238.02
3127296;20.66
3128400;139.63
3128698;217.75
3128955;493.83
3128961;536.36
3129492;57.02
3131669;37.19
3131922;306.77
3132776;70.25
3133072;207.06
3133654;331.91
3133872;193.39
3134801;243.8
3136079;115.1
3136456;213.73
3139231;510.15
3139395;69.3
3139591;160.34
3139594;205.85
3142872;339.66
3144615;12.51
3155121;227.27
3158968;311.83
316901;221.29
323800;36.34
324234;20.66
339943;314.61
340410;320.86
352450;38.04
354988;296.75
356272;148.76
359638;398.82
360193;230.61
371142;619.01
371218;70.77
376371;129.09
379205;292.56
381422;45.0
385467;402.13
386186;205.75
390169;52.96
395050;466.9
S080501_1500_30_EUR;2.94
