ga:productSku;ga:revenuePerItem
3109978;156.0
3114003;32.0
3114882;19.0
3114911;301.65
3115436;108.82
3115441;165.88
3115587;162.06
3116375;48.76
3118488;112.78
3120742;221.21
3121494;510.07
3122180;23.16
3122238;31.3
3122267;48.76
3123187;57.02
3124516;218.35
3124615;252.86
3128527;345.0
3128936;1314.05
3129585;463.44
3130464;587.4
3130896;333.11
3130977;1040.8
3131887;270.23
3132352;308.95
3132777;70.25
3132998;194.21
3133654;331.91
3134107;124.99
3134630;135.36
3139037;46.14
3141043;273.28
3141228;205.78
3143135;282.52
3144952;65.29
3147924;32.23
3153678;335.02
3157393;78.51
3160063;29.18
3164880;40.5
318925;794.38
322737;109.67
324012;14.26
33588;296.69
336600;284.71
353730;938.33
354975;206.61
361772;223.13
361864;90.94
362976;57.1
372885;265.93
373068;53.99
377771;4.13
379205;292.56
384480;133.1
387542;141.66
388832;270.56
394844;304.87
S080501_500_30_EUR;0.98
