ga:productSku;ga:revenuePerItem
3108549;115.07
3111052;247.11
3111422;185.64
3113574;164.46
3113603;45.56
3114475;302.97
3115318;238.84
3116973;136.36
3117567;257.74
3118328;325.0
3120590;9.92
3121442;18.5
3124516;218.35
3125697;44.37
3127292;19.5
3128366;767.99
3128950;357.92
3128966;668.26
3129455;35.41
3129590;274.92
3130066;98.35
3130475;121.45
3130894;782.05
3130946;26.97
3130996;339.12
3131645;56.2
3131887;270.23
3132355;274.48
3132774;73.95
3132879;185.69
3133072;207.06
3133919;120.01
3135968;416.55
3136316;220.98
3137173;239.13
3137182;302.02
3138902;213.51
3138956;233.69
3139053;147.2
3141429;25.11
3141516;1.69
3142206;35.87
3143747;139.67
3144256;52.45
3148829;313.22
314890;21.93
3156345;425.73
3164880;40.5
322630;8.64
322720;173.19
324036;8.96
324792;69.97
352441;301.64
354975;206.61
356925;211.94
361824;245.91
361865;205.01
364443;23.95
366314;204.86
372388;32.23
379205;292.56
380450;345.83
380494;20.66
394697;511.67
397250;28.93
S080501_500_30_EUR;0.98
