ga:productSku;ga:revenuePerItem
310027;371.07
3112215;55.84
3114580;528.0
3114811;742.97
3114911;301.65
3115422;225.99
3116382;16.53
3117741;16.53
3121937;565.15
3121977;18.89
3122141;342.88
3122361;53.72
3122718;14.05
3124046;9.85
3124300;28.93
3126481;1642.95
3126669;128.1
3128571;454.04
3128672;493.46
3128962;602.66
3128966;718.92
3129195;414.28
3129495;139.67
3130243;1280.16
3130980;238.49
3131004;459.14
3131197;129.03
3131687;20.19
3137479;48.76
3144441;147.93
3145581;22.0
3146917;4.96
3147884;123.14
314878;32.32
3153918;2.77
3156260;360.53
3157427;40.5
3159040;341.51
317916;66.81
321914;91.16
340147;39.84
359270;270.23
359393;597.72
360536;67.08
361359;149.49
369848;95.0
372389;74.38
374634;36.56
376371;117.91
378974;1.25
396541;519.83
396875;7.43
397381;52.07
397789;230.58
S080501_500_30_EUR;0.98
