ga:productSku;ga:revenuePerItem
3104694;58.32
310758;7.43
3107617;281.52
3109793;210.74
3111759;119.83
3112873;7.44
311623;135.46
3121148;46.51
3122142;390.16
3122232;12.4
3123217;238.02
3124480;118.96
3128959;443.0
3129590;274.92
3130735;23.97
3131645;56.2
3131880;425.56
3132222;115.55
3132339;161.98
3133876;415.8
3134011;88.36
3136358;49.77
3136370;304.91
3140201;445.45
3140944;63.07
3141043;272.83
3142872;339.66
3143721;156.2
3156295;130.98
3159081;329.16
3164880;40.5
316901;221.29
317173;28.29
317789;266.41
317909;74.54
352487;48.26
353733;264.22
356794;276.8
372763;147.26
379205;292.56
381192;28.3
394618;42.97
396817;20.66
397335;48.76
399822;170.91
S080501_500_30_EUR;0.98
