ga:productSku;ga:revenuePerItem
3105089;19.01
3105767;41.12
3109109;118.63
3113603;45.56
3114531;152.98
3115436;105.41
3118328;325.0
3122718;14.05
3127285;408.08
3128955;506.42
3131887;270.23
3132372;25.87
3132887;366.69
3133986;693.37
3136364;212.92
3136790;28.92
3138953;255.17
3141159;50.0
3142173;185.95
3146050;81.82
3146135;106.61
3147358;16.53
315470;28.95
3157371;23.15
340673;180.87
342055;48.79
358710;65.02
374986;293.64
376240;21.0
378525;40.5
379205;319.22
386483;60.94
390573;26.45
395054;308.48
397064;48.97
397261;45.45
397524;32.23
S080501_500_30_EUR;0.98
