ga:productSku;ga:revenuePerItem
3104681;315.42
3109166;359.5
3113025;53.22
3114531;152.98
3116366;49.0
3118604;15.64
3119074;25.08
3119368;278.77
3120742;226.77
3120813;410.33
3121444;12.47
3122152;109.87
3122226;15.55
3123195;37.19
3131687;20.19
3132360;406.98
3132879;185.69
3133005;191.05
3134354;56.21
3136289;109.91
313675;12.9
3138452;326.54
3138980;57.02
3139053;147.2
3154668;360.76
316912;192.31
327786;57.57
328803;22.76
331193;42.22
332835;5.08
341406;250.78
358423;421.49
358692;194.21
380494;20.66
381250;45.89
384928;767.77
386397;617.54
392810;3.3
396333;65.29
397277;37.19
397381;52.07
S080501_1500_30_EUR;2.94
S080501_500_30_EUR;0.98
