ga:productSku;ga:revenuePerItem
3108850;415.78
3114911;301.65
3116282;65.86
3117919;23.0
3119686;39.88
3120813;410.33
3121588;549.4
3121907;22.11
3122585;990.91
3128400;139.63
3129195;414.28
3129603;77.0
3130066;98.35
3130897;314.05
3130943;30.58
3131694;20.05
3132556;40.5
3132777;70.25
3132876;91.59
3132998;194.21
3133653;636.1
3133936;94.22
3134051;23.0
3136370;304.91
3137182;302.02
3139240;215.08
3143996;32.23
3155119;185.95
3161946;16.53
317916;66.81
319238;143.78
332847;3.3
342189;38.02
344475;81.8
356021;281.2
356161;119.1
361772;223.13
378525;40.5
384943;561.16
387542;141.66
38917;40.5
390599;37.19
390906;184.26
395001;23.97
395050;466.9
396873;45.45
397247;53.72
397391;48.76
397512;14.88
S080501_500_30_EUR;0.98
