ga:productSku;ga:revenuePerItem
3107705;338.84
3109977;172.73
3109978;156.0
3115441;165.78
3116973;136.36
3117567;257.74
3117568;232.53
3117658;107.62
3120149;101.07
3120742;226.77
3121182;15.7
3121497;30.58
3122361;53.72
3122635;12.4
3122656;24.79
3122758;20.66
3124337;10.74
3124339;10.74
3124998;276.69
3127196;16.43
3127285;408.08
3130066;98.35
3131187;335.99
3131689;20.66
3131928;33.05
3133885;384.87
3133921;176.28
3135998;205.28
3136031;127.18
3138902;207.07
3140176;16.53
3141067;96.03
3141135;11.26
3142371;346.21
3144366;9.92
3144953;86.77
3147724;9.92
3147764;197.52
3149845;102.0
3149945;30.9
3150819;49.39
3153678;313.54
3153693;188.24
3154209;29.61
3157436;97.99
3158842;50.85
3160411;12.58
3164866;265.0
3164880;40.5
320613;88.42
320614;103.24
326076;48.76
327898;30.89
342633;132.59
34924;123.14
356281;18.7
371142;619.01
373327;0.84
378525;40.5
381422;45.0
384860;45.0
387459;213.19
397241;32.23
397374;61.98
S080501_500_30_EUR;0.98
