ga:productSku;ga:revenuePerItem
3107594;5.12
3109793;220.8
3111301;110.74
3114531;152.98
3115437;132.71
3115664;220.4
3116358;34.83
3116360;37.19
3118328;325.0
3122562;28.68
3123414;143.94
3125483;37.41
3128698;230.56
3128922;1349.83
3131845;355.37
3132774;70.25
3132911;329.75
3132999;58.25
3133867;100.26
3133987;570.25
3134801;243.8
3136212;145.93
3136370;304.91
3137173;239.13
3137827;111.57
3140178;74.38
3141141;32.23
3142391;12.01
3144471;371.9
3148097;98.35
315470;28.95
3157369;330.58
3157393;73.55
3164880;40.5
316802;12.16
327804;32.23
329370;77.11
330869;65.07
33146;408.0
332036;157.84
336826;313.02
34924;123.14
356794;276.8
359292;24.93
372765;134.59
373357;21.83
381310;113.21
381422;45.0
384860;45.0
389014;2.48
394365;214.88
395379;73.16
397291;41.32
397357;61.98
398209;220.03
S080501_500_30_EUR;0.98
